gps_lat, gps_lng, gps_height, gps_sattelites, total_acc, gyro0, gyro1, gyro2, baro_height, pressure, temperature, humidity, ranging_address, ranging_result, time_since_last_gps, time_sec
37.297127, -3.682935, 729.50, 4, 0.000, 0.00, 0.00, 0.00, 691.9, 934.47, 32.31, 34.37, 0, -1.00, 2753, 815489
37.297123, -3.682927, 730.90, 4, 0.000, 0.00, 0.00, 0.00, 692.6, 934.39, 32.33, 34.30, 12345672, 37.55, 32, 816586
37.297123, -3.682927, 730.90, 4, 0.000, 0.00, 0.00, 0.00, 691.1, 934.56, 32.40, 34.50, 12345673, -1.00, 1130, 817684
37.297123, -3.682927, 730.90, 4, 0.000, 0.00, 0.00, 0.00, 687.3, 934.99, 32.38, 34.56, 12345674, 1.89, 2227, 818781
37.297123, -3.682927, 730.90, 4, 0.000, 0.00, 0.00, 0.00, 688.3, 934.87, 32.33, 34.58, 12345671, -1.00, 3354, 819908
37.297062, -3.682907, 730.90, 4, 0.000, 0.00, 0.00, 0.00, 687.6, 934.95, 32.36, 34.61, 12345672, 44.17, 32, 820999
37.297058, -3.682906, 733.80, 4, 0.000, 0.00, 0.00, 0.00, 688.3, 934.87, 32.33, 34.51, 12345673, -1.00, 31, 822089
37.297047, -3.682908, 733.70, 4, 0.000, 0.00, 0.00, 0.00, 693.9, 934.24, 32.31, 34.58, 12345674, 1.76, 32, 823184
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 687.3, 934.99, 32.49, 34.78, 12345672, 49.17, 31, 825389
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 688.3, 934.88, 32.54, 36.12, 12345672, -1.00, 4890, 830248
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 689.1, 934.79, 32.45, 35.83, 12345673, -1.00, 6000, 831358
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 685.5, 935.19, 32.42, 35.30, 12345674, 2.66, 7071, 832429
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 688.3, 934.87, 32.38, 34.72, 12345671, -1.00, 8144, 833502
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 693.6, 934.28, 32.38, 34.08, 12345672, -1.00, 9218, 834576
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 682.0, 935.58, 32.38, 33.77, 12345673, -1.00, 10298, 835656
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 684.5, 935.30, 32.36, 33.56, 12345674, -1.00, 11377, 836735
37.297028, -3.682909, 734.20, 4, 0.000, 0.00, 0.00, 0.00, 691.5, 934.51, 32.38, 33.50, 12345671, -1.00, 12456, 837814
37.296959, -3.682875, 734.20, 3, 0.000, 0.00, 0.00, 0.00, 690.5, 934.63, 32.38, 33.59, 12345672, -1.00, 31, 838897
37.296806, -3.683061, 699.10, 5, 0.000, 0.00, 0.00, 0.00, 686.6, 935.07, 32.42, 33.07, 12345673, -1.00, 31, 897404
37.296806, -3.683062, 699.80, 5, 0.000, 0.00, 0.00, 0.00, 695.7, 934.04, 32.33, 33.26, 12345674, 2.25, 31, 898486
37.296810, -3.683062, 700.30, 5, 0.000, 0.00, 0.00, 0.00, 686.9, 935.03, 32.35, 33.48, 12345671, -1.00, 31, 899576
37.296810, -3.683060, 701.70, 5, 0.000, 0.00, 0.00, 0.00, 688.3, 934.87, 32.33, 33.56, 12345672, 52.10, 32, 900662
37.296810, -3.683060, 701.70, 5, 0.000, 0.00, 0.00, 0.00, 684.2, 935.34, 32.38, 33.68, 12345673, -1.00, 1122, 901752
37.296810, -3.683060, 701.70, 5, 0.000, 0.00, 0.00, 0.00, 681.3, 935.66, 32.47, 33.78, 12345674, 2.43, 2210, 902840
