lat,long,gps_alt,sats,total acc,gyro,gyro 1,gyro 2,baro altitude,baro pressure,temp,humid,addres,dist,last gps,time ms,,,
37.29702,-3.68295,753.4,4,0,0,0,0,693.3,934.31,31.23,34.57,0,-1,53,503321,0,0,0
37.297016,-3.682949,754.9,4,0,0,0,0,685.6,935.18,31.41,34.42,12345674,2.21,32,504399,0,0,0
37.297012,-3.682946,754.5,4,0,0,0,0,693.9,934.24,31.46,34.17,12345671,-1,31,505479,0,0,0
37.297012,-3.682946,754.5,4,0,0,0,0,683.8,935.38,31.44,34.02,12345672,-1,1119,506567,0,0,0
37.297012,-3.682946,754.5,4,0,0,0,0,692.6,934.39,31.43,33.83,12345673,-1,2203,507651,0,0,0
37.297012,-3.682946,754.5,4,0,0,0,0,689.8,934.71,31.46,33.61,12345674,2.16,3296,508744,0,0,0
37.297012,-3.682946,754.5,4,0,0,0,0,691.2,934.55,31.44,33.46,12345671,-1,4422,509870,0,0,0
37.29707,-3.682977,745.8,4,0,0,0,0,689.4,934.75,31.37,33.38,12345672,-1,30,510956,0,0,0
37.297089,-3.682981,743.9,4,0,0,0,0,687.7,934.94,31.41,33.39,12345673,-1,30,512046,0,0,0
37.297089,-3.682981,743.9,4,0,0,0,0,679.6,935.85,31.5,33.45,12345674,1.89,1115,513131,0,0,0
37.296902,-3.682851,745.9,4,0,0,0,0,695.4,934.08,31.5,34.01,0,-1,9359,658185,0,0,0
37.296932,-3.682902,703.2,4,0,0,0,0,687.6,934.95,31.46,33.93,12345674,1.98,32,659285,0,0,0
37.296932,-3.682902,703.2,4,0,0,0,0,692.6,934.39,31.32,33.91,12345671,-1,1130,660383,0,0,0
37.296932,-3.682902,703.2,4,0,0,0,0,685.9,935.14,31.44,33.99,12345672,38.9,2268,661521,0,0,0
37.29694,-3.682911,742.4,4,0,0,0,0,684.3,935.33,31.37,34.13,12345673,-1,31,662612,0,0,0
37.29694,-3.682911,742.4,4,0,0,0,0,685.9,935.14,31.44,34.23,12345674,2.3,1128,663709,0,0,0
37.29694,-3.682911,742.4,4,0,0,0,0,690.8,934.59,31.41,34.21,12345671,-1,2224,664805,0,0,0
37.296986,-3.682904,742.4,4,0,0,0,0,694.3,934.2,31.44,34.19,12345672,41.87,31,665905,0,0,0
37.297005,-3.682903,742.4,4,0,0,0,0,687.7,934.94,31.35,34.22,12345673,-1,32,667005,0,0,0
37.297001,-3.682894,736.3,4,0,0,0,0,694.7,934.16,31.37,34.25,12345674,2.12,32,668112,0,0,0
37.297009,-3.682944,717.4,4,0,0,0,0,690.1,934.67,31.39,35.5,0,-1,54,726246,0,0,0
37.297012,-3.682944,718,4,0,0,0,0,687,935.02,31.44,35.68,12345674,2.34,32,727318,0,0,0
